0, 99.0
1, 49.5
2, 33.3333333333
3, 25.5
4, 21.0
5, 18.1666666667
6, 16.2857142857
7, 15.0
8, 14.1111111111
9, 13.5
10, 13.0909090909
11, 12.8333333333
12, 12.6923076923
13, 12.6428571429
14, 12.6666666667
15, 12.75
16, 12.8823529412
17, 13.0555555556
18, 13.2631578947
19, 13.5
20, 13.7619047619
21, 14.0454545455
22, 14.347826087
23, 14.6666666667
24, 15.0
25, 15.3461538462
26, 15.7037037037
27, 16.0714285714
28, 16.4482758621
29, 16.8333333333
30, 17.2258064516
31, 17.625
32, 18.0303030303
33, 18.4411764706
34, 18.8571428571
35, 19.2777777778
36, 19.7027027027
37, 20.1315789474
38, 20.5641025641
39, 21.0
40, 21.4390243902
41, 21.880952381
42, 22.3255813953
43, 22.7727272727
44, 23.2222222222
45, 23.6739130435
46, 24.1276595745
47, 24.5833333333
48, 25.0408163265
49, 25.5
50, 25.9607843137
51, 26.4230769231
52, 26.8867924528
53, 27.3518518519
54, 27.8181818182
55, 28.2857142857
56, 28.7543859649
57, 29.224137931
58, 29.6949152542
59, 30.1666666667
60, 30.6393442623
61, 31.1129032258
62, 31.5873015873
63, 32.0625
64, 32.5384615385
65, 33.0151515152
66, 33.4925373134
67, 33.9705882353
68, 34.4492753623
69, 34.9285714286
70, 35.4084507042
71, 35.8888888889
72, 36.3698630137
73, 36.8513513514
74, 37.3333333333
75, 37.8157894737
76, 38.2987012987
77, 38.7820512821
78, 39.2658227848
79, 39.75
80, 40.2345679012
81, 40.7195121951
82, 41.2048192771
83, 41.6904761905
84, 42.1764705882
85, 42.6627906977
86, 43.1494252874
87, 43.6363636364
88, 44.1235955056
89, 44.6111111111
90, 45.0989010989
91, 45.5869565217
92, 46.0752688172
93, 46.5638297872
94, 47.0526315789
95, 47.5416666667
96, 48.0309278351
97, 48.5204081633
98, 49.0101010101
99, 49.5
